#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        45   -4.7071224257e-01    7.5532213106e-01   -1.2155007586e+00    7.4478851601e-01   -1.2155007586e+00    2.0480000000e+05    5.3122018082e-03    9.9996582031e-01
        46   -4.6099088109e-01    6.7824324711e-01   -1.2196859857e+00    7.5869510464e-01   -1.2196859857e+00    2.0480000000e+05    5.3140621948e-03    9.9996582031e-01
        47   -4.5334674863e-01    8.7042152259e-01   -1.2086583689e+00    7.5531162027e-01   -1.2086583689e+00    2.0480000000e+05    5.3118468484e-03    9.9993652344e-01
        48   -4.5597857781e-01    6.9818219206e-01   -1.2168694797e+00    7.6089090192e-01   -1.2168694797e+00    2.0480000000e+05    5.3143210522e-03    9.9996582031e-01
        49   -4.5543671160e-01    6.7744220567e-01   -1.1991908208e+00    7.4375410915e-01   -1.1991908208e+00    2.0480000000e+05    5.2959325177e-03    9.9995117187e-01
        50   -4.3137617503e-01    5.9907575959e-01   -1.1775103279e+00    7.4613415285e-01   -1.1775103279e+00    2.0480000000e+05    5.3124052698e-03    9.9993652344e-01
        51   -4.4408292655e-01    7.0995562487e-01   -1.2009357556e+00    7.5685282906e-01   -1.2009357556e+00    2.0480000000e+05    5.3134169995e-03    9.9997558594e-01
        52   -4.4221329543e-01    6.7252161445e-01   -1.2075416957e+00    7.6532840022e-01   -1.2075416957e+00    2.0480000000e+05    5.3130951114e-03    9.9998046875e-01
        53   -4.3611181835e-01    6.3444171631e-01   -1.1873238051e+00    7.5121198676e-01   -1.1873238051e+00    2.0480000000e+05    5.3137159610e-03    9.9996093750e-01
        54   -4.4133338812e-01    5.8908417818e-01   -1.1878068218e+00    7.4647343364e-01   -1.1878068218e+00    2.0480000000e+05    5.2934388162e-03    9.9993164062e-01
        55   -4.6026603776e-01    7.7814044501e-01   -1.1955196724e+00    7.3525363460e-01   -1.1955196724e+00    2.0480000000e+05    5.3133041904e-03    9.9994628906e-01
        56   -4.5560952486e-01    7.4086401415e-01   -1.1856948792e+00    7.3008535437e-01   -1.1856948792e+00    2.0480000000e+05    5.3138955228e-03    9.9995117187e-01
        57   -4.5633449154e-01    6.0359108269e-01   -1.1838981606e+00    7.2756366905e-01   -1.1838981606e+00    2.0480000000e+05    5.3132742374e-03    9.9993164062e-01
        58   -4.6803233302e-01    7.4113928717e-01   -1.1790296313e+00    7.1099729826e-01   -1.1790296313e+00    2.0480000000e+05    5.3143988519e-03    9.9996582031e-01
        59   -4.7141812996e-01    8.1291305214e-01   -1.2013588971e+00    7.2994076716e-01   -1.2013588971e+00    2.0480000000e+05    5.2933505789e-03    9.9996093750e-01
        60   -4.5679303378e-01    6.8928098540e-01   -1.1966034114e+00    7.3981037766e-01   -1.1966034114e+00    2.0480000000e+05    5.3107915189e-03    9.9995117187e-01
        61   -4.4084320391e-01    6.4026003861e-01   -1.1594629933e+00    7.1861978941e-01   -1.1594629933e+00    2.0480000000e+05    5.3152533777e-03    9.9995117187e-01
        62   -4.5629042293e-01    6.7083643797e-01   -1.1813405996e+00    7.2505017663e-01   -1.1813405996e+00    2.0480000000e+05    5.3136656003e-03    9.9997558594e-01
        63   -4.4636424922e-01    7.9794139966e-01   -1.1852230090e+00    7.3885875980e-01   -1.1852230090e+00    2.0480000000e+05    5.3138953421e-03    9.9995605469e-01
        64   -4.5324974921e-01    6.5582584397e-01   -1.1847073663e+00    7.3145761708e-01   -1.1847073663e+00    2.0480000000e+05    5.2940726013e-03    9.9993652344e-01
