#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        33   -3.7289067754e+01    1.4186886574e+03   -7.0375784713e+01    3.3086716958e+01    1.2164251741e+01   -8.2540036453e+01    1.2800000000e+04    2.8333264844e-02    8.3261718750e-01
        34   -3.7582675813e+01    1.4339272925e+03   -7.1346867917e+01    3.3764192103e+01    1.2097244128e+01   -8.3444112045e+01    1.2800000000e+04    2.8337252373e-02    8.3252604167e-01
        35   -3.7709995298e+01    1.4553652086e+03   -7.0198466200e+01    3.2488470903e+01    1.2083660271e+01   -8.2282126471e+01    1.2800000000e+04    2.8348199785e-02    8.3371093750e-01
        36   -3.7513880058e+01    1.6345968650e+03   -7.0569720756e+01    3.3055840698e+01    1.2053976253e+01   -8.2623697009e+01    1.2800000000e+04    2.8336947119e-02    8.3360677083e-01
        37   -3.7393670571e+01    1.4487028187e+03   -7.3351726603e+01    3.5958056031e+01    1.2098458051e+01   -8.5450184654e+01    1.2800000000e+04    2.8324985044e-02    8.3022135417e-01
        38   -3.7312350968e+01    1.4206597278e+03   -7.2447100579e+01    3.5134749611e+01    1.2002190696e+01   -8.4449291275e+01    1.2800000000e+04    2.8347347612e-02    8.3165364583e-01
        39   -3.7782242690e+01    1.4945425825e+03   -7.3376065743e+01    3.5593823053e+01    1.2003155553e+01   -8.5379221296e+01    1.2800000000e+04    2.8341795381e-02    8.3000000000e-01
        40   -3.7967370084e+01    1.5488363359e+03   -7.4216271000e+01    3.6248900916e+01    1.2203974075e+01   -8.6420245075e+01    1.2800000000e+04    2.8324188135e-02    8.2908854167e-01
        41   -3.7703638105e+01    1.7045712529e+03   -7.2771553405e+01    3.5067915300e+01    1.1969947317e+01   -8.4741500722e+01    1.2800000000e+04    2.8350402202e-02    8.3171875000e-01
        42   -3.7661268402e+01    1.6725961447e+03   -7.2641278511e+01    3.4980010109e+01    1.2071838342e+01   -8.4713116853e+01    1.2800000000e+04    2.8372516768e-02    8.3234375000e-01
        43   -3.7793624422e+01    1.6837499284e+03   -7.2781793460e+01    3.4988169038e+01    1.2074507160e+01   -8.4856300620e+01    1.2800000000e+04    2.8347757808e-02    8.3154947917e-01
        44   -3.7475323023e+01    1.4250161786e+03   -7.0926265054e+01    3.3450942031e+01    1.2134721945e+01   -8.3060986999e+01    1.2800000000e+04    2.8317455737e-02    8.3230468750e-01
        45   -3.7327567170e+01    1.4163051431e+03   -7.1208325010e+01    3.3880757840e+01    1.2150428920e+01   -8.3358753929e+01    1.2800000000e+04    2.8328134155e-02    8.2927083333e-01
        46   -3.7523920213e+01    1.4252113244e+03   -7.1302130577e+01    3.3778210365e+01    1.1922548113e+01   -8.3224678690e+01    1.2800000000e+04    2.8335816060e-02    8.3044270833e-01
        47   -3.7202232358e+01    1.4167829062e+03   -7.1641864571e+01    3.4439632213e+01    1.2125758397e+01   -8.3767622967e+01    1.2800000000e+04    2.8323533340e-02    8.3158854167e-01
        48   -3.7530069571e+01    1.4265045400e+03   -7.1107173235e+01    3.3577103664e+01    1.2090511413e+01   -8.3197684648e+01    1.2800000000e+04    2.8319578994e-02    8.3167968750e-01
        49   -3.7337352682e+01    1.4189646125e+03   -7.1684181622e+01    3.4346828940e+01    1.1982059667e+01   -8.3666241289e+01    1.2800000000e+04    2.8343891421e-02    8.3113281250e-01
        50   -3.7377366344e+01    1.4209743620e+03   -7.2349747031e+01    3.4972380686e+01    1.1893693478e+01   -8.4243440509e+01    1.2800000000e+04    2.8303763047e-02    8.3118489583e-01
        51   -3.7158999929e+01    1.4057080893e+03   -7.2428152717e+01    3.5269152788e+01    1.2013248766e+01   -8.4441401484e+01    1.2800000000e+04    2.8318953369e-02    8.3197916667e-01
        52   -3.7429422575e+01    1.4240168962e+03   -7.2198786547e+01    3.4769363972e+01    1.2095905551e+01   -8.4294692098e+01    1.2800000000e+04    2.8374923574e-02    8.3351562500e-01
        53   -3.7458632892e+01    1.4213856585e+03   -7.1071063808e+01    3.3612430917e+01    1.2276979761e+01   -8.3348043570e+01    1.2800000000e+04    2.8325478760e-02    8.3184895833e-01
        54   -3.7865411330e+01    1.4938350878e+03   -7.3184887670e+01    3.5319476340e+01    1.2236711407e+01   -8.5421599077e+01    1.2800000000e+04    2.8331590488e-02    8.2971354167e-01
        55   -3.7319868388e+01    1.4224464944e+03   -7.2574735121e+01    3.5254866734e+01    1.1966926391e+01   -8.4541661513e+01    1.2800000000e+04    2.8395409067e-02    8.3539062500e-01
        56   -3.7716933836e+01    1.4920885857e+03   -7.1163044868e+01    3.3446111032e+01    1.2132305731e+01   -8.3295350599e+01    1.2800000000e+04    2.8392827920e-02    8.3667968750e-01
        57   -3.7720355810e+01    1.6630554280e+03   -7.2100989718e+01    3.4380633909e+01    1.1922398507e+01   -8.4023388225e+01    1.2800000000e+04    2.8336846831e-02    8.3227864583e-01
        58   -3.8252800983e+01    2.3060993696e+03   -7.4970026170e+01    3.6717225186e+01    1.1949586930e+01   -8.6919613099e+01    1.2800000000e+04    2.8343531567e-02    8.3078125000e-01
