#  Units = bohr hartree 
#  r  -r*V/zeff 
4.796210000000e+00       1.000000000000e+00
4.813210000000e+00       1.000000000000e+00
4.830210000000e+00       1.000000000000e+00
4.847210000000e+00       1.000000000000e+00
4.864210000000e+00       1.000000000000e+00
4.881210000000e+00       1.000000000000e+00
4.898210000000e+00       1.000000000000e+00
4.915210000000e+00       1.000000000000e+00
4.932210000000e+00       1.000000000000e+00
4.949210000000e+00       1.000000000000e+00
4.966210000000e+00       1.000000000000e+00
4.983210000000e+00       1.000000000000e+00
