#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             IonIon              BlockWeight         BlockCPU            AcceptRatio         
        89   -7.5735759413e+01    6.0659851736e+03   -1.5367232789e+02    7.7936568478e+01    6.2307230533e+01   -2.4964351976e+02    3.3663961334e+01    1.2800000000e+04    1.1100550641e-01    8.6434082031e-01
        90   -7.4670475983e+01    5.6205267932e+03   -1.5157845227e+02    7.6907976288e+01    6.2205447061e+01   -2.4744786067e+02    3.3663961334e+01    1.2800000000e+04    1.1097734735e-01    8.6456054688e-01
        91   -7.5491446494e+01    5.8331318505e+03   -1.5254835267e+02    7.7056906179e+01    6.2190724736e+01   -2.4840303874e+02    3.3663961334e+01    1.2800000000e+04    1.1112367727e-01    8.6340820312e-01
        92   -7.6167807194e+01    6.5766307025e+03   -1.5226900570e+02    7.6101198506e+01    6.2338329916e+01   -2.4827129695e+02    3.3663961334e+01    1.2800000000e+04    1.1104216075e-01    8.6442871094e-01
        93   -7.5070435629e+01    5.7074515159e+03   -1.5006059264e+02    7.4990157015e+01    6.2436611785e+01   -2.4616116576e+02    3.3663961334e+01    1.2800000000e+04    1.1108205471e-01    8.6603515625e-01
        94   -7.4897416609e+01    5.7010396852e+03   -1.5355610399e+02    7.8658687379e+01    6.2408586499e+01   -2.4962865182e+02    3.3663961334e+01    1.2800000000e+04    1.1099975779e-01    8.6319824219e-01
        95   -7.6267480015e+01    6.2628101147e+03   -1.5292850298e+02    7.6661022968e+01    6.1763002254e+01   -2.4835546657e+02    3.3663961334e+01    1.2800000000e+04    1.1101901374e-01    8.6439941406e-01
        96   -7.6054691718e+01    6.3829804064e+03   -1.5140706477e+02    7.5352373054e+01    6.2265362988e+01   -2.4733638909e+02    3.3663961334e+01    1.2800000000e+04    1.1104896355e-01    8.6503906250e-01
        97   -7.6055921471e+01    6.1038333508e+03   -1.5487346425e+02    7.8817542780e+01    6.1972390964e+01   -2.5050981655e+02    3.3663961334e+01    1.2800000000e+04    1.1102654345e-01    8.6521972656e-01
        98   -7.5223335855e+01    5.7544066909e+03   -1.4974321184e+02    7.4519875987e+01    6.1563046768e+01   -2.4497021994e+02    3.3663961334e+01    1.2800000000e+04    1.1106536249e-01    8.6553222656e-01
        99   -7.7078197072e+01    6.8094882360e+03   -1.5340219803e+02    7.6324000960e+01    6.2028462821e+01   -2.4909462219e+02    3.3663961334e+01    1.2800000000e+04    1.1104444328e-01    8.6536621094e-01
       100   -7.4922746899e+01    5.6778774988e+03   -1.4906145289e+02    7.4138705988e+01    6.1939396085e+01   -2.4466481031e+02    3.3663961334e+01    1.2800000000e+04    1.1109854488e-01    8.6552734375e-01
       101   -7.6387859634e+01    6.3020906698e+03   -1.5418993719e+02    7.7802077556e+01    6.2130380670e+01   -2.4998427919e+02    3.3663961334e+01    1.2800000000e+04    1.1102251238e-01    8.6520996094e-01
       102   -7.5758312482e+01    6.4732049767e+03   -1.5138963229e+02    7.5631319810e+01    6.2131331507e+01   -2.4718492513e+02    3.3663961334e+01    1.2800000000e+04    1.1104327381e-01    8.6518554687e-01
       103   -7.6150184658e+01    6.4780624598e+03   -1.5295295795e+02    7.6802773296e+01    6.1686965146e+01   -2.4830388443e+02    3.3663961334e+01    1.2800000000e+04    1.1101150292e-01    8.6470214844e-01
       104   -7.4746004758e+01    5.6371273047e+03   -1.5156293822e+02    7.6816933464e+01    6.1922550912e+01   -2.4714945047e+02    3.3663961334e+01    1.2800000000e+04    1.1102301046e-01    8.6461425781e-01
       105   -7.5691678004e+01    6.0867081252e+03   -1.5081332908e+02    7.5121651078e+01    6.2459393720e+01   -2.4693668414e+02    3.3663961334e+01    1.2800000000e+04    1.1101864449e-01    8.6469726562e-01
       106   -7.5698344493e+01    6.1492094429e+03   -1.4952710449e+02    7.3828760000e+01    6.1581260397e+01   -2.4477232622e+02    3.3663961334e+01    1.2800000000e+04    1.1102056522e-01    8.6514160156e-01
       107   -7.4829057227e+01    5.6570545829e+03   -1.4883609699e+02    7.4007039767e+01    6.1615697754e+01   -2.4411575608e+02    3.3663961334e+01    1.2800000000e+04    1.1110222566e-01    8.6601074219e-01
       108   -7.5392794661e+01    5.7330865664e+03   -1.5022027687e+02    7.4827482212e+01    6.2232590017e+01   -2.4611682822e+02    3.3663961334e+01    1.2800000000e+04    1.1106510357e-01    8.6578613281e-01
       109   -7.5253341890e+01    5.7319184381e+03   -1.5071784642e+02    7.5464504529e+01    6.2535065858e+01   -2.4691687361e+02    3.3663961334e+01    1.2800000000e+04    1.1099848839e-01    8.6445800781e-01
       110   -7.5232169159e+01    5.7166510225e+03   -1.5182787813e+02    7.6595708975e+01    6.1744882780e+01   -2.4723672225e+02    3.3663961334e+01    1.2800000000e+04    1.1106972758e-01    8.6583984375e-01
       111   -7.5120124524e+01    5.7072639720e+03   -1.5316158726e+02    7.8041462733e+01    6.2110451743e+01   -2.4893600033e+02    3.3663961334e+01    1.2800000000e+04    1.1103724457e-01    8.6459472656e-01
       112   -7.5987531151e+01    5.9591132496e+03   -1.5532703742e+02    7.9339506271e+01    6.1857993396e+01   -2.5084899215e+02    3.3663961334e+01    1.2800000000e+04    1.1096654897e-01    8.6380859375e-01
       113   -7.5239028518e+01    5.7732089481e+03   -1.5239440973e+02    7.7155381207e+01    6.2082341623e+01   -2.4814071268e+02    3.3663961334e+01    1.2800000000e+04    1.1106755202e-01    8.6583496094e-01
       114   -7.5113320454e+01    5.7601780677e+03   -1.5091916702e+02    7.5805846563e+01    6.2349880510e+01   -2.4693300886e+02    3.3663961334e+01    1.2800000000e+04    1.1101309443e-01    8.6452148437e-01
       115   -7.5458824401e+01    5.8798268006e+03   -1.5244047281e+02    7.6981648404e+01    6.2622698700e+01   -2.4872713284e+02    3.3663961334e+01    1.2800000000e+04    1.1101191889e-01    8.6363769531e-01
       116   -7.4676188751e+01    5.6261889918e+03   -1.5135067507e+02    7.6674486318e+01    6.2443159035e+01   -2.4745779544e+02    3.3663961334e+01    1.2800000000e+04    1.1097109191e-01    8.6371582031e-01
       117   -7.4999014260e+01    5.7233510190e+03   -1.5174820353e+02    7.6749189273e+01    6.2172471829e+01   -2.4758463670e+02    3.3663961334e+01    1.2800000000e+04    1.1099641979e-01    8.6397460938e-01
       118   -7.5196849493e+01    5.7528036741e+03   -1.5186081184e+02    7.6663962343e+01    6.2467477356e+01   -2.4799225053e+02    3.3663961334e+01    1.2800000000e+04    1.1097140872e-01    8.6338867188e-01
       119   -7.5273991010e+01    5.8446045724e+03   -1.4958088081e+02    7.4306889801e+01    6.2506183339e+01   -2.4575102548e+02    3.3663961334e+01    1.2800000000e+04    1.1108806279e-01    8.6576660156e-01
       120   -7.5172101480e+01    5.6970237530e+03   -1.5016113174e+02    7.4989030258e+01    6.2022044932e+01   -2.4584713800e+02    3.3663961334e+01    1.2800000000e+04    1.1103831301e-01    8.6563964844e-01
       121   -7.5148598887e+01    5.6878648659e+03   -1.5049664246e+02    7.5348043574e+01    6.2193081396e+01   -2.4635368519e+02    3.3663961334e+01    1.2800000000e+04    1.1103470075e-01    8.6448730469e-01
       122   -7.5114423670e+01    5.7074751841e+03   -1.5078876012e+02    7.5674336451e+01    6.2172819054e+01   -2.4662554051e+02    3.3663961334e+01    1.2800000000e+04    1.1098429528e-01    8.6403320313e-01
       123   -7.5429450923e+01    5.8440513834e+03   -1.5237398922e+02    7.6944538293e+01    6.2308214310e+01   -2.4834616486e+02    3.3663961334e+01    1.2800000000e+04    1.1105623211e-01    8.6365722656e-01
       124   -7.4988033245e+01    5.6726568567e+03   -1.5226032944e+02    7.7272296194e+01    6.2470865933e+01   -2.4839515671e+02    3.3663961334e+01    1.2800000000e+04    1.1105308386e-01    8.6391601562e-01
       125   -7.5871293291e+01    6.2180187380e+03   -1.4977480893e+02    7.3903515642e+01    6.2391803797e+01   -2.4583057406e+02    3.3663961334e+01    1.2800000000e+04    1.1110932783e-01    8.6533203125e-01
       126   -7.6561305613e+01    6.5823067176e+03   -1.5120726405e+02    7.4645958437e+01    6.2464494867e+01   -2.4733572025e+02    3.3663961334e+01    1.2800000000e+04    1.1107673850e-01    8.6483398437e-01
       127   -7.4995766222e+01    5.6722380890e+03   -1.5289661731e+02    7.7900851083e+01    6.2032195524e+01   -2.4859277416e+02    3.3663961334e+01    1.2800000000e+04    1.1102926225e-01    8.6337890625e-01
       128   -7.5375656498e+01    5.7647934029e+03   -1.4916623034e+02    7.3790573843e+01    6.2173123624e+01   -2.4500331530e+02    3.3663961334e+01    1.2800000000e+04    1.1112017887e-01    8.6534667969e-01
